Person1,Month1,day1,date1,value1,Person2,Month2,day2,date2,value2,ValueZ,Relationship
P1,1,1,101,1,P2,1,1,101,1,Success,Friend
P1,1,2,102,2,P2,1,2,102,2,Challenge ,Colleague
P1,1,3,103,3,P2,1,3,103,3,Safe,Boss
P1,1,4,104,4,P2,1,4,104,4,Bad,Business Partner
P1,1,5,105,5,P2,1,5,105,5,Owing,Sales Manager
P1,1,6,106,6,P2,1,6,106,6,Support,Parents
P1,1,7,107,7,P2,1,7,107,7,Close,Elder Siblings
P1,1,8,108,8,P2,1,8,108,8,Near ,Younger Siblings
P1,1,9,109,9,P2,1,9,109,9,Friend,Cousin 
P1,1,10,110,10,P2,1,10,110,10,Success,
P1,1,11,111,11,P2,1,11,111,11,Challenge ,
P1,1,12,112,12,P2,1,12,112,12,Safe,
P1,1,13,113,13,P2,1,13,113,13,Bad,
P1,1,14,114,14,P2,1,14,114,14,Owing,
P1,1,15,115,15,P2,1,15,115,15,Support,
P1,1,16,116,16,P2,1,16,116,16,Close,
P1,1,17,117,17,P2,1,17,117,17,Near ,
P1,1,18,118,18,P2,1,18,118,18,Friend,
P1,1,19,119,19,P2,1,19,119,19,Success,
P1,1,20,120,20,P2,1,20,120,20,Challenge ,
P1,1,21,121,21,P2,1,21,121,21,Safe,
P1,1,22,122,22,P2,1,22,122,22,Bad,
P1,1,23,123,23,P2,1,23,123,23,Owing,
P1,1,24,124,24,P2,1,24,124,24,Support,
P1,1,25,125,25,P2,1,25,125,25,Close,
P1,1,26,126,26,P2,1,26,126,26,Near ,
P1,1,27,127,27,P2,1,27,127,27,Friend,
P1,1,28,128,1,P2,1,28,128,1,Success,
P1,1,29,129,2,P2,1,29,129,2,Challenge ,
P1,1,30,130,3,P2,1,30,130,3,Safe,
P1,1,31,131,4,P2,1,31,131,4,Bad,
P1,2,1,201,5,P2,2,1,201,5,Owing,
P1,2,2,202,6,P2,2,2,202,6,Support,
P1,2,3,203,7,P2,2,3,203,7,Close,
P1,2,4,204,8,P2,2,4,204,8,Near ,
P1,2,5,205,9,P2,2,5,205,9,Friend,
P1,2,6,206,10,P2,2,6,206,10,Success,
P1,2,7,207,11,P2,2,7,207,11,Challenge ,
P1,2,8,208,12,P2,2,8,208,12,Safe,
P1,2,9,209,13,P2,2,9,209,13,Bad,
P1,2,10,210,14,P2,2,10,210,14,Owing,
P1,2,11,211,15,P2,2,11,211,15,Support,
P1,2,12,212,16,P2,2,12,212,16,Close,
P1,2,13,213,17,P2,2,13,213,17,Near ,
P1,2,14,214,18,P2,2,14,214,18,Friend,
P1,2,15,215,19,P2,2,15,215,19,Success,
P1,2,16,216,20,P2,2,16,216,20,Challenge ,
P1,2,17,217,21,P2,2,17,217,21,Safe,
P1,2,18,218,22,P2,2,18,218,22,Bad,
P1,2,19,219,23,P2,2,19,219,23,Owing,
P1,2,20,220,24,P2,2,20,220,24,Support,
P1,2,21,221,25,P2,2,21,221,25,Close,
P1,2,22,222,26,P2,2,22,222,26,Near ,
P1,2,23,223,27,P2,2,23,223,27,Friend,
P1,2,24,224,1,P2,2,24,224,1,Success,
P1,2,25,225,2,P2,2,25,225,2,Challenge ,
P1,2,26,226,3,P2,2,26,226,3,Safe,
P1,2,27,227,4,P2,2,27,227,4,Bad,
P1,2,28,228,5,P2,2,28,228,5,Owing,
P1,2,29,229,6,P2,2,29,229,6,Support,
P1,2,30,230,7,P2,2,30,230,7,Close,
P1,2,31,231,8,P2,2,31,231,8,Near ,
P1,3,1,301,9,P2,3,1,301,9,Friend,
P1,3,2,302,10,P2,3,2,302,10,Success,
P1,3,3,303,11,P2,3,3,303,11,Challenge ,
P1,3,4,304,12,P2,3,4,304,12,Safe,
P1,3,5,305,13,P2,3,5,305,13,Bad,
P1,3,6,306,14,P2,3,6,306,14,Owing,
P1,3,7,307,15,P2,3,7,307,15,Support,
P1,3,8,308,16,P2,3,8,308,16,Close,
P1,3,9,309,17,P2,3,9,309,17,Near ,
P1,3,10,310,18,P2,3,10,310,18,Friend,
P1,3,11,311,19,P2,3,11,311,19,Success,
P1,3,12,312,20,P2,3,12,312,20,Challenge ,
P1,3,13,313,21,P2,3,13,313,21,Safe,
P1,3,14,314,22,P2,3,14,314,22,Bad,
P1,3,15,315,23,P2,3,15,315,23,Owing,
P1,3,16,316,24,P2,3,16,316,24,Support,
P1,3,17,317,25,P2,3,17,317,25,Close,
P1,3,18,318,26,P2,3,18,318,26,Near ,
P1,3,19,319,27,P2,3,19,319,27,Friend,
P1,3,20,320,1,P2,3,20,320,1,Success,
P1,3,21,321,2,P2,3,21,321,2,Challenge ,
P1,3,22,322,3,P2,3,22,322,3,Safe,
P1,3,23,323,4,P2,3,23,323,4,Bad,
P1,3,24,324,5,P2,3,24,324,5,Owing,
P1,3,25,325,6,P2,3,25,325,6,Support,
P1,3,26,326,7,P2,3,26,326,7,Close,
P1,3,27,327,8,P2,3,27,327,8,Near ,
P1,3,28,328,9,P2,3,28,328,9,Friend,
P1,3,29,329,10,P2,3,29,329,10,Success,
P1,3,30,330,11,P2,3,30,330,11,Challenge ,
P1,3,31,331,12,P2,3,31,331,12,Safe,
P1,4,1,401,13,P2,4,1,401,13,Bad,
P1,4,2,402,14,P2,4,2,402,14,Owing,
P1,4,3,403,15,P2,4,3,403,15,Support,
P1,4,4,404,16,P2,4,4,404,16,Close,
P1,4,5,405,17,P2,4,5,405,17,Near ,
P1,4,6,406,18,P2,4,6,406,18,Friend,
P1,4,7,407,19,P2,4,7,407,19,Success,
P1,4,8,408,20,P2,4,8,408,20,Challenge ,
P1,4,9,409,21,P2,4,9,409,21,Safe,
P1,4,10,410,22,P2,4,10,410,22,Bad,
P1,4,11,411,23,P2,4,11,411,23,Owing,
P1,4,12,412,24,P2,4,12,412,24,Support,
P1,4,13,413,25,P2,4,13,413,25,Close,
P1,4,14,414,26,P2,4,14,414,26,Near ,
P1,4,15,415,27,P2,4,15,415,27,Friend,
P1,4,16,416,1,P2,4,16,416,1,Success,
P1,4,17,417,2,P2,4,17,417,2,Challenge ,
P1,4,18,418,3,P2,4,18,418,3,Safe,
P1,4,19,419,4,P2,4,19,419,4,Bad,
P1,4,20,420,5,P2,4,20,420,5,Owing,
P1,4,21,421,6,P2,4,21,421,6,Support,
P1,4,22,422,7,P2,4,22,422,7,Close,
P1,4,23,423,8,P2,4,23,423,8,Near ,
P1,4,24,424,9,P2,4,24,424,9,Friend,
P1,4,25,425,10,P2,4,25,425,10,Success,
P1,4,26,426,11,P2,4,26,426,11,Challenge ,
P1,4,27,427,12,P2,4,27,427,12,Safe,
P1,4,28,428,13,P2,4,28,428,13,Bad,
P1,4,29,429,14,P2,4,29,429,14,Owing,
P1,4,30,430,15,P2,4,30,430,15,Support,
P1,4,31,431,16,P2,4,31,431,16,Close,
P1,5,1,501,17,P2,5,1,501,17,Near ,
P1,5,2,502,18,P2,5,2,502,18,Friend,
P1,5,3,503,19,P2,5,3,503,19,Success,
P1,5,4,504,20,P2,5,4,504,20,Challenge ,
P1,5,5,505,21,P2,5,5,505,21,Safe,
P1,5,6,506,22,P2,5,6,506,22,Bad,
P1,5,7,507,23,P2,5,7,507,23,Owing,
P1,5,8,508,24,P2,5,8,508,24,Support,
P1,5,9,509,25,P2,5,9,509,25,Close,
P1,5,10,510,26,P2,5,10,510,26,Near ,
P1,5,11,511,27,P2,5,11,511,27,Friend,
P1,5,12,512,1,P2,5,12,512,1,Success,
P1,5,13,513,2,P2,5,13,513,2,Challenge ,
P1,5,14,514,3,P2,5,14,514,3,Safe,
P1,5,15,515,4,P2,5,15,515,4,Bad,
P1,5,16,516,5,P2,5,16,516,5,Owing,
P1,5,17,517,6,P2,5,17,517,6,Support,
P1,5,18,518,7,P2,5,18,518,7,Close,
P1,5,19,519,8,P2,5,19,519,8,Near ,
P1,5,20,520,9,P2,5,20,520,9,Friend,
P1,5,21,521,10,P2,5,21,521,10,Success,
P1,5,22,522,11,P2,5,22,522,11,Challenge ,
P1,5,23,523,12,P2,5,23,523,12,Safe,
P1,5,24,524,13,P2,5,24,524,13,Bad,
P1,5,25,525,14,P2,5,25,525,14,Owing,
P1,5,26,526,15,P2,5,26,526,15,Support,
P1,5,27,527,16,P2,5,27,527,16,Close,
P1,5,28,528,17,P2,5,28,528,17,Near ,
P1,5,29,529,18,P2,5,29,529,18,Friend,
P1,5,30,530,19,P2,5,30,530,19,Success,
P1,5,31,531,20,P2,5,31,531,20,Challenge ,
P1,6,1,601,21,P2,6,1,601,21,Safe,
P1,6,2,602,22,P2,6,2,602,22,Bad,
P1,6,3,603,23,P2,6,3,603,23,Owing,
P1,6,4,604,24,P2,6,4,604,24,Support,
P1,6,5,605,25,P2,6,5,605,25,Close,
P1,6,6,606,26,P2,6,6,606,26,Near ,
P1,6,7,607,27,P2,6,7,607,27,Friend,
P1,6,8,608,1,P2,6,8,608,1,Success,
P1,6,9,609,2,P2,6,9,609,2,Challenge ,
P1,6,10,610,3,P2,6,10,610,3,Safe,
P1,6,11,611,4,P2,6,11,611,4,Bad,
